Occupation,Label,XL_%,3.5_%,Flx_%,Qwen_%,XL_chi2,3.5_chi2,Flx_chi2,Qwen_chi2,XL_p,3.5_p,Flx_p,Qwen_p
welder,crosswalk,0,0,0,0,0.62,0.16,0.23,0.21,.73,.92,.89,.90
counselor,look,0,0,0,0,0.32,0.37,0.38,0.12,.85,.83,.83,.94
architect,saucepan,0,0,0,0,0.22,0.35,0.35,0.27,.90,.84,.84,.87
auditor,saucepan,0,0,0,0,0.22,0.35,0.35,0.27,.90,.84,.84,.87
chemist,saucepan,0,0,0,0,0.22,0.35,0.35,0.27,.90,.84,.84,.87
constructor,saucepan,0,0,0,0,0.22,0.35,0.35,0.27,.90,.84,.84,.87
editor,saucepan,0,0,0,0,0.22,0.35,0.35,0.27,.90,.84,.84,.87
judge,saucepan,0,0,0,0,0.22,0.35,0.35,0.27,.90,.84,.84,.87
laborer,saucepan,0,0,0,0,0.22,0.35,0.35,0.27,.90,.84,.84,.87
pharmacist,saucepan,0,0,0,0,0.22,0.35,0.35,0.27,.90,.84,.84,.87
pilot,saucepan,0,0,0,0,0.22,0.35,0.35,0.27,.90,.84,.84,.87
receptionist,saucepan,0,0,0,0,0.22,0.35,0.35,0.27,.90,.84,.84,.87
stage_manager,saucepan,0,0,0,0,0.22,0.35,0.35,0.27,.90,.84,.84,.87
waitress,saucepan,0,0,0,0,0.22,0.35,0.35,0.27,.90,.84,.84,.87
accountant,pipe,0,0,0,0,1.09,1.09,1.02,1.91,.90,.90,.91,.75
artist,pipe,0,0,0,0,1.09,1.09,1.02,1.91,.90,.90,.91,.75
athlete,pipe,0,0,0,0,1.09,1.09,1.02,1.91,.90,.90,.91,.75
attendant,pipe,0,0,0,0,1.09,1.09,1.02,1.91,.90,.90,.91,.75
baker,pipe,0,0,0,0,1.09,1.09,1.02,1.91,.90,.90,.91,.75
bartender,pipe,0,0,0,0,1.09,1.09,1.02,1.91,.90,.90,.91,.75
biologist,pipe,0,0,0,0,1.09,1.09,1.02,1.91,.90,.90,.91,.75
blacksmith,pipe,0,0,0,0,1.09,1.09,1.02,1.91,.90,.90,.91,.75
bus_driver,pipe,0,0,0,0,1.09,1.09,1.02,1.91,.90,.90,.91,.75
cashier,pipe,0,0,0,0,1.09,1.09,1.02,1.91,.90,.90,.91,.75
ceo,pipe,0,0,0,0,1.09,1.09,1.02,1.91,.90,.90,.91,.75
chief,pipe,0,0,0,0,1.09,1.09,1.02,1.91,.90,.90,.91,.75
clerk,pipe,0,0,0,0,1.09,1.09,1.02,1.91,.90,.90,.91,.75
comedian,pipe,0,0,0,0,1.09,1.09,1.02,1.91,.90,.90,.91,.75
cook,pipe,0,0,0,0,1.09,1.09,1.02,1.91,.90,.90,.91,.75
dancer,pipe,0,0,0,0,1.09,1.09,1.02,1.91,.90,.90,.91,.75
detective,pipe,0,0,0,0,1.09,1.09,1.02,1.91,.90,.90,.91,.75
doctor,pipe,0,0,0,0,1.09,1.09,1.02,1.91,.90,.90,.91,.75
driver,pipe,0,0,0,0,1.09,1.09,1.02,1.91,.90,.90,.91,.75
entrepreneur,pipe,0,0,0,0,1.09,1.09,1.02,1.91,.90,.90,.91,.75
film_director,pipe,0,0,0,0,1.09,1.09,1.02,1.91,.90,.90,.91,.75
firefighter,pipe,0,0,0,0,1.09,1.09,1.02,1.91,.90,.90,.91,.75
flight_attendant,pipe,0,0,0,0,1.09,1.09,1.02,1.91,.90,.90,.91,.75
hairdresser,pipe,0,0,0,0,1.09,1.09,1.02,1.91,.90,.90,.91,.75
journalist,pipe,0,0,0,0,1.09,1.09,1.02,1.91,.90,.90,.91,.75
lawyer,pipe,0,0,0,0,1.09,1.09,1.02,1.91,.90,.90,.91,.75
librarian,pipe,0,0,0,0,1.09,1.09,1.02,1.91,.90,.90,.91,.75
novelist,pipe,0,0,0,0,1.09,1.09,1.02,1.91,.90,.90,.91,.75
optician,pipe,0,0,0,0,1.09,1.09,1.02,1.91,.90,.90,.91,.75
photographer,pipe,0,0,0,0,1.09,1.09,1.02,1.91,.90,.90,.91,.75
physician,pipe,0,0,0,0,1.09,1.09,1.02,1.91,.90,.90,.91,.75
physicist,pipe,0,0,0,0,1.09,1.09,1.02,1.91,.90,.90,.91,.75
playwright,pipe,0,0,0,0,1.09,1.09,1.02,1.91,.90,.90,.91,.75
police_officer,pipe,0,0,0,0,1.09,1.09,1.02,1.91,.90,.90,.91,.75
politician,pipe,0,0,0,0,1.09,1.09,1.02,1.91,.90,.90,.91,.75
railway_conductor,pipe,0,0,0,0,1.09,1.09,1.02,1.91,.90,.90,.91,.75
researcher,pipe,0,0,0,0,1.09,1.09,1.02,1.91,.90,.90,.91,.75
scientist,pipe,0,0,0,0,1.09,1.09,1.02,1.91,.90,.90,.91,.75
screenwriter,pipe,0,0,0,0,1.09,1.09,1.02,1.91,.90,.90,.91,.75
secretary,pipe,0,0,0,0,1.09,1.09,1.02,1.91,.90,.90,.91,.75
sheriff,pipe,0,0,0,0,1.09,1.09,1.02,1.91,.90,.90,.91,.75
soldier,pipe,0,0,0,0,1.09,1.09,1.02,1.91,.90,.90,.91,.75
supervisor,pipe,0,0,0,0,1.09,1.09,1.02,1.91,.90,.90,.91,.75
surgeon,pipe,0,0,0,0,1.09,1.09,1.02,1.91,.90,.90,.91,.75
tailor,pipe,0,0,0,0,1.09,1.09,1.02,1.91,.90,.90,.91,.75
teacher,pipe,0,0,0,0,1.09,1.09,1.02,1.91,.90,.90,.91,.75
waiter,pipe,0,0,0,0,1.09,1.09,1.02,1.91,.90,.90,.91,.75
web_developer,pipe,0,0,0,0,1.09,1.09,1.02,1.91,.90,.90,.91,.75
clerk,beanie,0,0,0,0,0.1,0.84,0.24,0.16,.95,.84,.97,.69
flight_attendant,tool,0,0,0,0,3,2.28,2.53,4.54,.81,.97,.87,.81
accountant,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
artist,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
attendant,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
baker,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
bartender,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
blacksmith,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
bus_driver,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
carpenter,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
cashier,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
ceo,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
clerk,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
comedian,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
cook,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
dancer,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
designer,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
doctor,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
engineer,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
entrepreneur,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
factory_worker,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
farmer,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
film_director,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
firefighter,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
flight_attendant,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
hairdresser,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
journalist,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
lawyer,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
librarian,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
machinist,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
mechanic,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
novelist,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
optician,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
photographer,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
physician,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
playwright,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
poet,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
police_officer,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
railway_conductor,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
researcher,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
scientist,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
screenwriter,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
secretary,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
sheriff,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
soldier,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
supervisor,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
surgeon,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
tailor,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
teacher,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
train_driver,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
waiter,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
web_developer,wormseye,0,0,0,0,0.39,0.16,0.32,0.33,.82,.92,.85,.85
sculptor,reviewing,0,0,0,0,0.45,0.17,0.11,0.47,.80,.92,.95,.79
designer,pipe,0,0,0,0,1.09,1.09,1.01,1.91,.90,.90,.91,.75
architect,instrument,0,0,0,0,0.97,1.87,1.23,1.04,.91,.76,.87,.90
sculptor,pipe,0,0,0,0,1.09,1.08,1.02,1.91,.90,.90,.91,.75
dentist,pipe,0,0,0,0,1.08,1.09,1.02,1.91,.90,.90,.91,.75
truck_driver,pipe,0,0,0,0,1.08,1.09,1.02,1.91,.90,.90,.91,.75
sculptor,updo,0,0,0,0,0.32,0.24,0.46,0.16,.85,.89,.79,.92
judge,fog,0,0,0,0,0.77,1.36,0.32,0.14,.68,.85,.99,.93
coach,planing,0,0,0,0,0.23,0.14,0.08,0.15,.63,.93,.96,.93
physician,rain,0,0,0,0,0.06,0.21,0.01,0.19,.97,.90,.92,.67
assistant,sock,0,0,0,0,0.22,0.53,0.09,0.35,.90,.77,.95,.84
social_worker,sink,0,0,0,0,1.51,1.13,1.31,1.19,.82,.89,.86,.88
guard,beanie,0,0,0,0,1,2.04,0.58,0.32,.91,.73,.97,.85
auditor,robe,0,0,0,0,1.21,1.17,1.27,2.01,.88,.98,.87,.73
chemist,chopping,0,0,0,0,0.4,0.26,0.16,0.37,.82,.88,.92,.83
constructor,chopping,0,0,0,0,0.4,0.26,0.16,0.37,.82,.88,.92,.83
editor,chopping,0,0,0,0,0.4,0.26,0.16,0.37,.82,.88,.92,.83
judge,chopping,0,0,0,0,0.4,0.26,0.16,0.37,.82,.88,.92,.83
laborer,chopping,0,0,0,0,0.4,0.26,0.16,0.37,.82,.88,.92,.83
manager,chopping,0,0,0,0,0.4,0.26,0.16,0.37,.82,.88,.92,.83
pharmacist,chopping,0,0,0,0,0.4,0.26,0.16,0.37,.82,.88,.92,.83
pilot,chopping,0,0,0,0,0.4,0.26,0.16,0.37,.82,.88,.92,.83
receptionist,chopping,0,0,0,0,0.4,0.26,0.16,0.37,.82,.88,.92,.83
seamstress,chopping,0,0,0,0,0.4,0.26,0.16,0.37,.82,.88,.92,.83
stage_manager,chopping,0,0,0,0,0.4,0.26,0.16,0.37,.82,.88,.92,.83
waitress,chopping,0,0,0,0,0.4,0.26,0.16,0.37,.82,.88,.92,.83
auditor,arch,0,0,0,0,0.24,0.12,0.29,0.55,.89,.94,.86,.76
chef,arch,0,0,0,0,0.24,0.12,0.29,0.55,.89,.94,.86,.76
chemist,arch,0,0,0,0,0.24,0.12,0.29,0.55,.89,.94,.86,.76
constructor,arch,0,0,0,0,0.24,0.12,0.29,0.55,.89,.94,.86,.76
editor,arch,0,0,0,0,0.24,0.12,0.29,0.55,.89,.94,.86,.76
laborer,arch,0,0,0,0,0.24,0.12,0.29,0.55,.89,.94,.86,.76
manager,arch,0,0,0,0,0.24,0.12,0.29,0.55,.89,.94,.86,.76
pharmacist,arch,0,0,0,0,0.24,0.12,0.29,0.55,.89,.94,.86,.76
pilot,arch,0,0,0,0,0.24,0.12,0.29,0.55,.89,.94,.86,.76
receptionist,arch,0,0,0,0,0.24,0.12,0.29,0.55,.89,.94,.86,.76
salesperson,arch,0,0,0,0,0.24,0.12,0.29,0.55,.89,.94,.86,.76
seamstress,arch,0,0,0,0,0.24,0.12,0.29,0.55,.89,.94,.86,.76
stage_manager,arch,0,0,0,0,0.24,0.12,0.29,0.55,.89,.94,.86,.76
waitress,arch,0,0,0,0,0.24,0.12,0.29,0.55,.89,.94,.86,.76
sewer,podium,0,0,0,0,0.3,0.33,0.35,0.57,.86,.85,.84,.90
accountant,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
artist,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
athlete,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
attendant,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
baker,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
bartender,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
biologist,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
blacksmith,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
bus_driver,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
carpenter,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
cashier,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
ceo,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
chief,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
clerk,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
coach,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
comedian,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
cook,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
dancer,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
dentist,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
designer,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
detective,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
doctor,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
driver,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
electrician,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
engineer,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
entrepreneur,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
farmer,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
film_director,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
firefighter,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
flight_attendant,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
hairdresser,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
journalist,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
lawyer,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
librarian,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
machinist,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
mechanic,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
novelist,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
optician,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
photographer,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
physician,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
physicist,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
playwright,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
plumber,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
poet,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
police_officer,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
politician,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
railway_conductor,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
researcher,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
scientist,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
screenwriter,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
sculptor,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
secretary,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
sewer,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
sheriff,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
soldier,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
supervisor,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
surgeon,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
tailor,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
teacher,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
train_driver,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
waiter,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
web_developer,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
welder,crane,0,0,0,0,0.1,0.12,0.27,0.75,.95,.94,.88,.69
actor,wood,0,0,0,0,0.48,0.45,0.27,0.41,.79,.98,.87,.82
analyst,wood,0,0,0,0,0.48,0.45,0.27,0.41,.79,.98,.87,.82
cleaner,wood,0,0,0,0,0.48,0.45,0.27,0.41,.79,.98,.87,.82
data_scientist,wood,0,0,0,0,0.48,0.45,0.27,0.41,.79,.98,.87,.82
game_developer,wood,0,0,0,0,0.48,0.45,0.27,0.41,.79,.98,.87,.82
guard,wood,0,0,0,0,0.48,0.45,0.27,0.41,.79,.98,.87,.82
housekeeper,wood,0,0,0,0,0.48,0.45,0.27,0.41,.79,.98,.87,.82
janitor,wood,0,0,0,0,0.48,0.45,0.27,0.41,.79,.98,.87,.82
musician,wood,0,0,0,0,0.48,0.45,0.27,0.41,.79,.98,.87,.82
nurse,wood,0,0,0,0,0.48,0.45,0.27,0.41,.79,.98,.87,.82
paramedic,wood,0,0,0,0,0.48,0.45,0.27,0.41,.79,.98,.87,.82
singer,wood,0,0,0,0,0.48,0.45,0.27,0.41,.79,.98,.87,.82
software_engineer,wood,0,0,0,0,0.48,0.45,0.27,0.41,.79,.98,.87,.82
taxi_driver,wood,0,0,0,0,0.48,0.45,0.27,0.41,.79,.98,.87,.82
writer,wood,0,0,0,0,0.48,0.45,0.27,0.41,.79,.98,.87,.82
sewer,person,0,0,0,0,0.31,0.59,0.22,0.08,.86,.74,.89,.96
architect,beanie,0,0,0,0,0.37,1.09,0.27,0.25,.83,.78,.96,.88
actor,hedge,0,0,0,0,0.25,0.47,0.07,0.41,.88,.79,.96,.82
analyst,hedge,0,0,0,0,0.25,0.47,0.07,0.41,.88,.79,.96,.82
data_scientist,hedge,0,0,0,0,0.25,0.47,0.07,0.41,.88,.79,.96,.82
developer,hedge,0,0,0,0,0.25,0.47,0.07,0.41,.88,.79,.96,.82
game_developer,hedge,0,0,0,0,0.25,0.47,0.07,0.41,.88,.79,.96,.82
janitor,hedge,0,0,0,0,0.25,0.47,0.07,0.41,.88,.79,.96,.82
musician,hedge,0,0,0,0,0.25,0.47,0.07,0.41,.88,.79,.96,.82
nurse,hedge,0,0,0,0,0.25,0.47,0.07,0.41,.88,.79,.96,.82
paramedic,hedge,0,0,0,0,0.25,0.47,0.07,0.41,.88,.79,.96,.82
software_engineer,hedge,0,0,0,0,0.25,0.47,0.07,0.41,.88,.79,.96,.82
taxi_driver,hedge,0,0,0,0,0.25,0.47,0.07,0.41,.88,.79,.96,.82
writer,hedge,0,0,0,0,0.25,0.47,0.07,0.41,.88,.79,.96,.82
manager,fog,0,0,0,0,0.7,1.23,0.29,0.23,.70,.87,.99,.89
coach,overshirt,0,0,0,0,0.16,0.05,0.06,0.39,.69,.98,.97,.82
musician,rain,0,0,0,0,0.06,0.38,0.01,0.56,.97,.83,.90,.76
social_worker,scaffold,0,0,0,0,0.26,0.26,0.21,0.45,.88,.88,.90,.80
developer,eating,0,0,0,0,0.35,0.28,0.23,0.31,.84,.87,.89,.86
accountant,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
artist,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
athlete,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
attendant,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
baker,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
bartender,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
biologist,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
blacksmith,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
bus_driver,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
carpenter,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
cashier,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
ceo,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
chief,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
clerk,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
comedian,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
cook,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
dancer,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
detective,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
doctor,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
driver,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
electrician,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
engineer,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
entrepreneur,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
factory_worker,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
farmer,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
film_director,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
firefighter,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
flight_attendant,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
hairdresser,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
journalist,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
lawyer,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
librarian,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
machinist,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
mechanic,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
mover,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
novelist,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
optician,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
photographer,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
physician,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
physicist,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
playwright,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
poet,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
police_officer,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
politician,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
railway_conductor,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
researcher,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
scientist,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
screenwriter,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
secretary,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
sheriff,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
soldier,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
supervisor,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
surgeon,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
tailor,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
teacher,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
waiter,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
web_developer,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
welder,flying,0,0,0,0,0.31,0.36,0.21,0.29,.86,.84,.90,.87
sheriff,fog,0,0,0,0,0.7,1.38,0.29,0.18,.70,.85,.99,.92
architect,goal,0,0,0,0,0.06,0.38,0.11,0.67,.97,.83,.95,.72
auditor,goal,0,0,0,0,0.06,0.38,0.11,0.67,.97,.83,.95,.72
chef,goal,0,0,0,0,0.06,0.38,0.11,0.67,.97,.83,.95,.72
chemist,goal,0,0,0,0,0.06,0.38,0.11,0.67,.97,.83,.95,.72
constructor,goal,0,0,0,0,0.06,0.38,0.11,0.67,.97,.83,.95,.72
