Occupation,Label,XL_%,3.5_%,Flx_%,Qwen_%,XL_chi2,3.5_chi2,Flx_chi2,Qwen_chi2,XL_p,3.5_p,Flx_p,Qwen_p
sewer,stream,1,5,4,3,216.68,2051.39,1267.88,0.02,.00,.00,.00,.88
lawyer,gavel,4,0,2,7,838.23,85.86,342.82,22004.45,.00,.00,.00,.00
baker,shelf,3,5,5,0,8.26,2.32,5.11,14.6,.08,.68,.28,.01
researcher,grey,0,4,9,0,28.86,14.46,8.06,15.67,.00,.00,.02,.00
surgeon,wide,13,0,0,0,7.45,9.36,5.01,4.34,.02,.01,.08,.11
attendant,mixed,1,6,6,0,4.59,7.62,4.45,6.76,.10,.02,.11,.03
machinist,wide,11,2,0,0,5.3,5.43,5.01,4.34,.07,.07,.08,.11
entrepreneur,jean,7,2,5,0,8.6,3.05,4.32,2.91,.01,.22,.12,.23
doctor,reading,7,0,1,5,1.09,7.37,6.42,6.17,.58,.03,.04,.05
coach,looking,0,2,7,5,1.68,1.28,9.59,43.93,.19,.53,.01,.00
bus_driver,car,7,3,3,0,230.87,14.7,56.67,1.76,.00,.01,.00,.78
clerk,straight,6,5,2,0,3.67,15.88,22.49,0.81,.16,.00,.00,.67
physician,observing,1,0,6,6,1.31,1.79,16.48,34.93,.52,.41,.00,.00
athlete,seating,2,0,5,6,278.66,0.05,973.61,1565.39,.00,.98,.00,.00
bus_driver,building,11,0,2,1,705.63,1.11,7.24,1.66,.00,.89,.03,.44
entrepreneur,pink,5,7,0,1,40.09,176.06,1.68,1.05,.00,.00,.79,.59
surgeon,lying,13,0,0,0,1248.05,1.38,0.68,2.07,.00,.85,.95,.72
factory_worker,basket,3,3,3,3,29.55,66.97,16.14,23.78,.00,.00,.00,.00
poet,window,2,2,3,6,29,14.63,38.04,755.39,.00,.01,.00,.00
politician,sign,4,2,4,4,49.11,32.34,46.22,122.72,.00,.00,.00,.00
entrepreneur,paper,7,3,2,2,77.45,16.14,9.42,5.1,.00,.00,.05,.53
mechanic,lamp,2,2,2,8,4.72,3.69,4.96,10.57,.32,.45,.08,.03
doctor,orange,3,4,5,1,13.28,28.91,16.1,6.36,.04,.00,.01,.38
teacher,orange,2,4,6,1,10.97,8.87,11.07,6.36,.09,.18,.09,.38
baker,counter,5,4,1,3,63.92,38.14,3.42,74.52,.00,.00,.49,.00
journalist,backpack,1,2,6,4,7.04,27.92,103.68,237.65,.32,.00,.00,.00
waiter,deep,8,2,1,3,11.33,11.4,4.87,7.15,.00,.00,.09,.03
accountant,balanced,8,3,2,1,6.55,6.7,2.69,5.69,.04,.04,.26,.06
sewer,tense,1,2,1,10,3.38,2.49,2.12,14.56,.18,.29,.35,.00
plumber,bench,6,1,4,2,56.82,2.59,59.6,2.89,.00,.63,.00,.24
politician,orange,3,4,6,1,16.79,20.96,22.09,8.04,.01,.00,.00,.24
baker,tight,2,10,0,1,5.8,26.16,27.29,8.35,.21,.00,.00,.08
novelist,produce,5,0,1,7,21.1,7.1,3.53,50.04,.00,.13,.47,.00
web_developer,shoe,9,4,0,0,13.4,14.67,6.13,11.04,.01,.01,.19,.03
poet,deep,8,3,2,0,11.33,9.15,2.26,2.85,.00,.01,.32,.24
playwright,melancholic,0,2,4,8,0.64,55.13,225.07,1245.98,.72,.00,.00,.00
mover,tree,3,4,6,0,4.89,3.54,21.95,3.12,.09,.17,.00,.54
entrepreneur,blonde,8,2,4,0,13.69,3.31,3.28,1.65,.00,.19,.19,.44
researcher,shoe,8,3,0,2,4.83,6.49,6.13,3.86,.30,.17,.19,.42
mover,shorts,3,8,0,2,45.34,113.56,0.89,3.15,.00,.00,.93,.21
waiter,posing,1,1,12,0,2.68,2.72,35.36,0.62,.26,.26,.00,.73
flight_attendant,straight,8,5,0,0,9.55,4.72,0.88,0.81,.01,.09,.64,.67
guard,sunglasses,3,2,6,2,618.61,23.87,66.16,32.2,.00,.00,.00,.00
social_worker,stove,2,4,1,6,18.29,17.27,3.63,57.78,.00,.00,.46,.00
social_worker,balanced,5,5,1,2,6.7,3.43,3.99,2.88,.04,.18,.14,.24
manager,arm,2,5,6,0,14.61,36.85,84.98,0.12,.02,.00,.00,1.00
sculptor,tool,6,2,4,1,537.3,56.29,185.46,23.58,.00,.00,.00,.00
coach,helmet,1,0,10,2,11.73,16.23,148.65,44.94,.04,.04,.00,.00
teacher,tie,2,0,1,9,8.49,7.57,8.36,17.51,.39,.48,.40,.01
social_worker,window,4,5,3,1,44.52,34.26,20.04,2.68,.00,.00,.00,.61
developer,wavy,2,1,6,5,3.81,1.56,12.42,2.17,.15,.46,.00,.34
surgeon,stethoscope,3,2,8,1,8.76,7.86,224.78,0.98,.03,.10,.00,.96
researcher,paper,4,0,2,6,10.24,3.12,2.91,38.83,.04,.54,.57,.00
waiter,paper,2,4,7,0,9.17,86.44,38.58,9.43,.06,.00,.00,.15
sewer,drain,5,2,4,3,1354.56,478.74,1206.03,996.51,.00,.00,.00,.00
architect,sofa,8,4,0,0,272.78,101.4,1.26,1.14,.00,.00,.53,.89
tailor,overcast,3,3,2,4,3.08,0.65,8.51,4.51,.21,.72,.01,.10
manager,keyboard,3,2,2,5,21.11,4.12,78.27,44.28,.00,.39,.00,.00
salesperson,plate,2,2,4,5,10.45,49.64,113.65,391.18,.03,.00,.00,.00
social_worker,keyboard,2,2,2,7,23.39,6.8,19.12,39.48,.00,.15,.00,.00
chef,grass,2,1,2,8,137.19,23.01,418.61,252.02,.00,.00,.00,.00
chef,vegetable,5,5,1,3,544.02,309.69,66.29,145.45,.00,.00,.00,.00
stage_manager,car,5,2,6,1,73.55,9.26,164.52,3.91,.00,.05,.00,.42
